problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,clustering_algo,num_partitions,size_of_largest_partition,partition_runtime,num_paths,edge_disjoint,dist_metric,iteration,obj_val,runtime,r1_runtime,r2_runtime,recon_runtime,r3_runtime,kirchoffs_runtime
Colt.graphml,153,354,1434948935,bimodal,1.0,23256,757.0000889728722,ncflow_edge_per_iter,fm_partitioning,36,11,0.004969,4,True,inv-cap,0,757.0000503480976,0.0341799259185791,0.0017230510711669922,0.008860111236572266,0.0012128353118896484,0.011810064315795898,0.010573863983154297
Colt.graphml,153,354,434369844,bimodal,1.0,23256,763.2645860513143,ncflow_edge_per_iter,fm_partitioning,36,11,0.005072,4,True,inv-cap,0,763.2645359315687,0.03519701957702637,0.00179290771484375,0.00998997688293457,0.0012362003326416016,0.011538982391357422,0.010638952255249023
Colt.graphml,153,354,1449732076,bimodal,16.0,23256,11970.354800654168,ncflow_edge_per_iter,fm_partitioning,36,11,0.005101,4,True,inv-cap,0,9744.595657522092,0.033156633377075195,0.00401616096496582,0.007723093032836914,0.0011637210845947266,0.011701107025146484,0.00855255126953125
Colt.graphml,153,354,1449732076,bimodal,16.0,23256,11970.354800654168,ncflow_edge_per_iter,fm_partitioning,36,11,0.005101,4,True,inv-cap,1,400.951289308236,0.005810976028442383,0.0020160675048828125,0.0007269382476806641,0.0009200572967529297,0.0012459754943847656,0.0009019374847412109
Colt.graphml,153,354,1739712882,bimodal,16.0,23256,12178.340629165737,ncflow_edge_per_iter,fm_partitioning,36,11,0.004808,4,True,inv-cap,0,9782.11699607518,0.04026603698730469,0.004669189453125,0.01082301139831543,0.0011286735534667969,0.01591014862060547,0.007735013961791992
Colt.graphml,153,354,1739712882,bimodal,16.0,23256,12178.340629165737,ncflow_edge_per_iter,fm_partitioning,36,11,0.004808,4,True,inv-cap,1,355.26450968180035,0.00626683235168457,0.0021491050720214844,0.0008459091186523438,0.0007936954498291016,0.0016570091247558594,0.0008211135864257812
Colt.graphml,153,354,1810312298,bimodal,8.0,23256,6083.756441927796,ncflow_edge_per_iter,fm_partitioning,36,11,0.005053,4,True,inv-cap,0,6042.379558970355,0.03838181495666504,0.0021889209747314453,0.010790109634399414,0.0011217594146728516,0.014997005462646484,0.009284019470214844
Colt.graphml,153,354,2101739168,bimodal,8.0,23256,5968.108875964661,ncflow_edge_per_iter,fm_partitioning,36,11,0.004926,4,True,inv-cap,0,5948.327111535469,0.03237557411193848,0.0021190643310546875,0.00984811782836914,0.0011157989501953125,0.00964498519897461,0.009647607803344727
Colt.graphml,153,354,1113764988,bimodal,4.0,23256,3051.9564507561063,ncflow_edge_per_iter,fm_partitioning,36,11,0.00492,4,True,inv-cap,0,3051.9564165141883,0.03488326072692871,0.0018000602722167969,0.010761022567749023,0.0011420249938964844,0.01122903823852539,0.009951114654541016
Colt.graphml,153,354,1285582262,bimodal,4.0,23256,3032.70498009803,ncflow_edge_per_iter,fm_partitioning,36,11,0.004956,4,True,inv-cap,0,3032.7049455345036,0.0340113639831543,0.001795053482055664,0.00950312614440918,0.0010790824890136719,0.011607170104980469,0.010026931762695312
Colt.graphml,153,354,1632174514,bimodal,128.0,23256,96156.1297961874,ncflow_edge_per_iter,fm_partitioning,36,11,0.00502,4,True,inv-cap,0,29915.513489266912,0.0234982967376709,0.008443117141723633,0.0029020309448242188,0.0009558200836181641,0.007215023040771484,0.0039823055267333984
Colt.graphml,153,354,1632174514,bimodal,128.0,23256,96156.1297961874,ncflow_edge_per_iter,fm_partitioning,36,11,0.00502,4,True,inv-cap,1,850.3685131500924,0.022044897079467773,0.007999897003173828,0.0007760524749755859,0.0008151531219482422,0.011638164520263672,0.0008156299591064453
Colt.graphml,153,354,1796904099,bimodal,128.0,23256,97049.00875714721,ncflow_edge_per_iter,fm_partitioning,36,11,0.005013,4,True,inv-cap,0,29964.118154993557,0.040575504302978516,0.01814103126525879,0.00394892692565918,0.0010879039764404297,0.01269984245300293,0.0046977996826171875
Colt.graphml,153,354,1796904099,bimodal,128.0,23256,97049.00875714721,ncflow_edge_per_iter,fm_partitioning,36,11,0.005013,4,True,inv-cap,1,658.0998688824496,0.022121667861938477,0.007735013961791992,0.0007719993591308594,0.0009176731109619141,0.011893987655639648,0.0008029937744140625
Colt.graphml,153,354,1371218786,poisson,16.0,11804,243589.03125,ncflow_edge_per_iter,fm_partitioning,36,11,0.005209,4,True,inv-cap,0,229486.36094413517,0.020063400268554688,0.0028259754180908203,0.004487037658691406,0.0010173320770263672,0.007880926132202148,0.0038521289825439453
Colt.graphml,153,354,1371218786,poisson,16.0,11804,243589.03125,ncflow_edge_per_iter,fm_partitioning,36,11,0.005209,4,True,inv-cap,1,870.4105440335697,0.012771844863891602,0.003072977066040039,0.0022962093353271484,0.0008907318115234375,0.0053899288177490234,0.0011219978332519531
Colt.graphml,153,354,1458651690,poisson,16.0,11776,243589.125,ncflow_edge_per_iter,fm_partitioning,36,11,0.004681,4,True,inv-cap,0,229460.82139991893,0.02161407470703125,0.002931833267211914,0.004183053970336914,0.0009577274322509766,0.009786844253540039,0.0037546157836914062
Colt.graphml,153,354,1458651690,poisson,16.0,11776,243589.125,ncflow_edge_per_iter,fm_partitioning,36,11,0.004681,4,True,inv-cap,1,830.2459617719505,0.013408184051513672,0.002959012985229492,0.0025441646575927734,0.0009350776672363281,0.005760908126831055,0.0012090206146240234
