problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,split_method,split_fraction,num_subproblems,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
Cogentco.graphml,197,486,1425924102,gravity,4.0,38612,4809.27294921875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.019837141036987305
Cogentco.graphml,197,486,1374632450,gravity,1.0,38610,1201.3656005859375,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.019086837768554688
Cogentco.graphml,197,486,1229219359,gravity,64.0,38610,76765.140625,pop,random,0,16,4,True,inv-cap,mcf,0.14580988551715696,0.21572208404541016
Cogentco.graphml,197,486,1486627102,gravity,32.0,38612,38399.109375,pop,random,0,16,4,True,inv-cap,mcf,0.29947673297818134,0.2566239833831787
Cogentco.graphml,197,486,1877587945,gravity,8.0,38611,9602.759765625,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.05444216728210449
Cogentco.graphml,197,486,1176656848,gravity,2.0,38609,2402.759521484375,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.018938064575195312
Cogentco.graphml,197,486,1264644244,poisson,32.0,19517,865029.5,pop,random,0.75,16,4,True,inv-cap,mcf,0.18631391118879018,0.10318112373352051
Cogentco.graphml,197,486,1038093168,poisson,16.0,19491,432514.0625,pop,random,0.75,16,4,True,inv-cap,mcf,0.39943870017780525,0.1145009994506836
Cogentco.graphml,197,486,1058989507,poisson,8.0,19469,216256.40625,pop,random,0.75,16,4,True,inv-cap,mcf,0.7657882877760652,0.08586907386779785
Cogentco.graphml,197,486,1924161815,poisson,64.0,19536,1730051.5,pop,random,0.75,16,4,True,inv-cap,mcf,0.09937653472185773,0.12986016273498535
Cogentco.graphml,197,486,1100381358,poisson,2.0,19493,54064.2109375,pop,random,0.75,16,4,True,inv-cap,mcf,0.9999999999999999,0.049942970275878906
Cogentco.graphml,197,486,1480899410,poisson,1.0,19488,27032.0546875,pop,random,0.75,16,4,True,inv-cap,mcf,0.9999999999999999,0.01526188850402832
Cogentco.graphml,197,486,1032633174,poisson,128.0,19561,3460106.5,pop,random,0.75,16,4,True,inv-cap,mcf,0.04754173026816212,0.14418411254882812
Cogentco.graphml,197,486,1082014999,poisson,4.0,19574,108128.484375,pop,random,0.75,16,4,True,inv-cap,mcf,0.9999999896336542,0.03538990020751953
Cogentco.graphml,197,486,145832539,uniform,32.0,38612,37110.59765625,pop,random,0,16,4,True,inv-cap,mcf,0.29948444927367834,0.18197894096374512
Cogentco.graphml,197,486,1110567089,uniform,4.0,38612,4635.0703125,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.019932031631469727
Cogentco.graphml,197,486,1022466024,uniform,16.0,38612,18592.33984375,pop,random,0,16,4,True,inv-cap,mcf,0.617518816658811,0.16696906089782715
Cogentco.graphml,197,486,163696636,uniform,128.0,38612,148869.9375,pop,random,0,16,4,True,inv-cap,mcf,0.07728283092864545,0.22179484367370605
Cogentco.graphml,197,486,1529536688,uniform,1.0,38612,1159.03173828125,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.02039504051208496
Cogentco.graphml,197,486,1147413089,uniform,2.0,38612,2311.373046875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.03101491928100586
Cogentco.graphml,197,486,174559812,uniform,8.0,38612,9273.921875,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999998,0.048731088638305664
Cogentco.graphml,197,486,1911278421,uniform,64.0,38612,74223.2890625,pop,random,0,16,4,True,inv-cap,mcf,0.15902456743182652,0.21713709831237793
Cogentco.graphml,197,486,1261070367,bimodal,128.0,38612,148087.83557016632,pop,random,0,16,4,True,inv-cap,mcf,0.07481581692100098,0.22951102256774902
Cogentco.graphml,197,486,1123824412,bimodal,4.0,38612,4626.832950412587,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.020255088806152344
Cogentco.graphml,197,486,1297305407,bimodal,8.0,38612,9352.96370890008,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999998,0.05022883415222168
Cogentco.graphml,197,486,1318417115,bimodal,2.0,38612,2289.315020917489,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.020051956176757812
Cogentco.graphml,197,486,1709348441,bimodal,1.0,38612,1155.6177098862142,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999999,0.0203549861907959
Cogentco.graphml,197,486,1541550360,bimodal,16.0,38612,18687.208735557986,pop,random,0,16,4,True,inv-cap,mcf,0.5725843085531904,0.19518709182739258
Cogentco.graphml,197,486,1652071748,bimodal,64.0,38612,74564.89470300866,pop,random,0,16,4,True,inv-cap,mcf,0.15463834616891753,0.19035601615905762
Cogentco.graphml,197,486,1114307391,bimodal,32.0,38612,37298.01483063337,pop,random,0,16,4,True,inv-cap,mcf,0.29896311668264314,0.20752596855163574
Cogentco.graphml,197,486,1618377143,poisson,32.0,38612,48987.01953125,pop,random,0,16,4,True,inv-cap,mcf,0.3104683071612437,0.2030959129333496
Cogentco.graphml,197,486,1130417803,poisson,8.0,38612,12231.953125,pop,random,0,16,4,True,inv-cap,mcf,0.9999999999999998,0.04964709281921387
Cogentco.graphml,197,486,101382938,poisson,16.0,38611,24447.5625,pop,random,0,16,4,True,inv-cap,mcf,0.6279942993540821,0.15836405754089355
Cogentco.graphml,197,486,1858163378,poisson,128.0,38611,195857.484375,pop,random,0,16,4,True,inv-cap,mcf,0.07455586448014294,0.2234208583831787
